,indicator,country,countryiso3code,date,value,unit,obs_status,decimal
0,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2020,21.9,,,0
1,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2019,22.1,,,0
2,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2018,21.5,,,0
3,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2017,21.3,,,0
4,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2016,20.1,,,0
5,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2015,19.6,,,0
6,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2014,19.3,,,0
7,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2013,19.7,,,0
8,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2012,20.3,,,0
9,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2011,21.0,,,0
10,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'BW', 'value': 'Botswana'}",BWA,2010,21.5,,,0
11,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2020,31.6,,,0
12,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2019,29.9,,,0
13,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2018,29.3,,,0
14,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2017,28.3,,,0
15,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2016,26.4,,,0
16,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2015,25.2,,,0
17,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2014,25.3,,,0
18,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2013,28.2,,,0
19,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2012,32.9,,,0
20,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2011,35.9,,,0
21,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'CG', 'value': 'Congo, Rep.'}",COG,2010,36.5,,,0
22,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2020,26.9,,,0
23,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2019,25.6,,,0
24,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2018,24.7,,,0
25,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2017,25.1,,,0
26,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2016,23.3,,,0
