Country Name,Agriculture (% of GDP),GDP per capita
Angola,9.110107424,6141.963839
Benin,27.10917504,3323.144451
Botswana,2.130881381,14667.80372
Burkina Faso,18.39807893,2155.76936
Burundi,28.62494556,731.0640736
Cabo Verde,4.864050185,6045.060885
Cameroon,17.38179045,3666.410626
Central African Republic,29.49593723,937.8564701
Chad,46.83284533,1509.027172
Comoros,35.78286215,2984.413403
"Congo, Dem. Rep.",20.88341888,1082.445242
Cote d'Ivoire,21.38539185,5181.31116
Equatorial Guinea,2.913124655,17214.73818
Eswatini,8.363605499,8404.727199
Ethiopia,35.55826935,2296.89044
Gabon,6.65899101,14320.84465
"Gambia, The",20.97683017,2158.442317
Ghana,18.85378266,5451.121442
Guinea,25.73663057,2611.403311
Guinea-Bissau,30.86324475,1847.465824
Kenya,22.62100885,4349.010163
Lesotho,4.742681751,2435.932437
Liberia,41.05196571,1392.010924
Madagascar,24.7993165,1463.787723
Malawi,22.65520608,1508.842902
Mali,36.18804497,2225.894238
Mauritania,20.18792117,5109.804948
Mauritius,3.40631684,19462.93435
Mozambique,25.57742107,1229.940296
Namibia,9.186009796,8872.622653
Niger,38.38472532,1221.26993
Nigeria,24.14330587,4916.721381
Rwanda,26.63087486,2098.635559
Sao Tome and Principe,13.991797,4051.604844
Senegal,16.21585473,3321.681151
Seychelles,2.472223536,26867.55911
Sierra Leone,59.48739589,1637.296623
South Africa,2.527584146,12665.8324
Sudan,20.35627523,3927.043945
Tanzania,26.73711127,2635.356689
Togo,18.77664831,2107.877763
Uganda,23.92903372,2175.031098
Zambia,2.977086346,3277.81651
Zimbabwe,7.607100619,2134.555461
