Series Name,Country Name,Year,Value
AGR,Afghanistan,2016 [YR2016],45.81000137
AGR,Albania,2016 [YR2016],40.04000092
AGR,Algeria,2016 [YR2016],10.27999973
AGR,Angola,2016 [YR2016],51.15000153
AGR,Argentina,2016 [YR2016],0.129999995
AGR,Armenia,2016 [YR2016],33.59999847
AGR,Australia,2016 [YR2016],2.619999886
AGR,Austria,2016 [YR2016],4.349999905
AGR,Azerbaijan,2016 [YR2016],36.34000015
AGR,"Bahamas, The",2016 [YR2016],2.380000114
AGR,Bahrain,2016 [YR2016],1.039999962
AGR,Bangladesh,2016 [YR2016],42.65999985
AGR,Barbados,2016 [YR2016],2.859999895
AGR,Belarus,2016 [YR2016],9.729999542
AGR,Belgium,2016 [YR2016],1.25
AGR,Belize,2016 [YR2016],18.55999947
AGR,Benin,2016 [YR2016],40.59000015
AGR,Bhutan,2016 [YR2016],57.22000122
AGR,Bolivia,2016 [YR2016],29.68000031
AGR,Bosnia and Herzegovina,2016 [YR2016],17.95999908
AGR,Botswana,2016 [YR2016],21.36000061
AGR,Brazil,2016 [YR2016],10.14000034
AGR,Brunei Darussalam,2016 [YR2016],1.00999999
AGR,Bulgaria,2016 [YR2016],6.75
AGR,Burkina Faso,2016 [YR2016],28.93000031
AGR,Burundi,2016 [YR2016],86.27999878
AGR,Cabo Verde,2016 [YR2016],14.06000042
AGR,Cambodia,2016 [YR2016],37.54000092
AGR,Cameroon,2016 [YR2016],45.70999908
AGR,Canada,2016 [YR2016],1.580000043
AGR,Cayman Islands,2016 [YR2016],..
AGR,Central African Republic,2016 [YR2016],71.30000305
AGR,Chad,2016 [YR2016],75.61000061
AGR,Channel Islands,2016 [YR2016],2.869999886
AGR,Chile,2016 [YR2016],9.479999542
AGR,China,2016 [YR2016],27.70000076
AGR,Colombia,2016 [YR2016],16.01000023
AGR,Comoros,2016 [YR2016],36.49000168
AGR,"Congo, Dem. Rep.",2016 [YR2016],65.80000305
AGR,"Congo, Rep.",2016 [YR2016],34.22000122
AGR,Costa Rica,2016 [YR2016],12.21000004
AGR,Cote d'Ivoire,2016 [YR2016],42.75
AGR,Croatia,2016 [YR2016],7.599999905
AGR,Cuba,2016 [YR2016],18.31999969
AGR,Curacao,2016 [YR2016],..
AGR,Cyprus,2016 [YR2016],3.640000105
AGR,Czechia,2016 [YR2016],2.900000095
AGR,Denmark,2016 [YR2016],2.329999924
AGR,Djibouti,2016 [YR2016],27.29000092
AGR,Dominica,2016 [YR2016],..
AGR,Dominican Republic,2016 [YR2016],8.930000305
AGR,Ecuador,2016 [YR2016],26.94000053
AGR,"Egypt, Arab Rep.",2016 [YR2016],25.56999969
AGR,El Salvador,2016 [YR2016],18.68000031
AGR,Equatorial Guinea,2016 [YR2016],38.86000061
AGR,Eritrea,2016 [YR2016],64.66000366
AGR,Estonia,2016 [YR2016],3.890000105
AGR,Eswatini,2016 [YR2016],13.19999981
AGR,Ethiopia,2016 [YR2016],68.63999939
AGR,Faroe Islands,2016 [YR2016],..
AGR,Fiji,2016 [YR2016],19.09000015
AGR,Finland,2016 [YR2016],3.869999886
AGR,France,2016 [YR2016],2.859999895
AGR,French Polynesia,2016 [YR2016],7.5
AGR,Gabon,2016 [YR2016],31.60000038
AGR,"Gambia, The",2016 [YR2016],28.98999977
AGR,Georgia,2016 [YR2016],43.81000137
AGR,Germany,2016 [YR2016],1.309999943
AGR,Ghana,2016 [YR2016],33.88999939
AGR,Gibraltar,2016 [YR2016],..
AGR,Greece,2016 [YR2016],12.36999989
AGR,Guam,2016 [YR2016],0.25999999
AGR,Guatemala,2016 [YR2016],29.37999916
AGR,Guinea,2016 [YR2016],62.99000168
AGR,Guinea-Bissau,2016 [YR2016],62.18000031
AGR,Guyana,2016 [YR2016],16.68000031
AGR,Haiti,2016 [YR2016],30.04999924
AGR,Honduras,2016 [YR2016],27.35000038
AGR,"Hong Kong SAR, China",2016 [YR2016],0.189999998
AGR,Hungary,2016 [YR2016],5.039999962
AGR,Iceland,2016 [YR2016],3.900000095
AGR,India,2016 [YR2016],44.56000137
AGR,Indonesia,2016 [YR2016],31.81999969
AGR,"Iran, Islamic Rep.",2016 [YR2016],17.97999954
AGR,Iraq,2016 [YR2016],19.76000023
AGR,Ireland,2016 [YR2016],5.289999962
AGR,Isle of Man,2016 [YR2016],..
AGR,Israel,2016 [YR2016],1.019999981
AGR,Italy,2016 [YR2016],3.880000114
AGR,Jamaica,2016 [YR2016],16.62999916
AGR,Japan,2016 [YR2016],3.5
AGR,Jordan,2016 [YR2016],2.779999971
AGR,Kazakhstan,2016 [YR2016],17.26000023
AGR,Kenya,2016 [YR2016],56.52999878
AGR,Kiribati,2016 [YR2016],..
AGR,"Korea, Dem. People's Rep.",2016 [YR2016],44.63999939
AGR,"Korea, Rep.",2016 [YR2016],4.940000057
AGR,Kosovo,2016 [YR2016],..
AGR,Kuwait,2016 [YR2016],2.00999999
AGR,Kyrgyz Republic,2016 [YR2016],26.79000092
AGR,Lao PDR,2016 [YR2016],64.70999908
AGR,Latvia,2016 [YR2016],7.690000057
AGR,Lebanon,2016 [YR2016],12.44999981
AGR,Lesotho,2016 [YR2016],45.84000015
AGR,Liberia,2016 [YR2016],43.74000168
AGR,Libya,2016 [YR2016],18.22999954
AGR,Liechtenstein,2016 [YR2016],..
AGR,Lithuania,2016 [YR2016],7.980000019
AGR,Luxembourg,2016 [YR2016],1.029999971
AGR,"Macao SAR, China",2016 [YR2016],0.400000006
AGR,Madagascar,2016 [YR2016],65.79000092
AGR,Malawi,2016 [YR2016],77.11000061
AGR,Malaysia,2016 [YR2016],11.36999989
AGR,Maldives,2016 [YR2016],9.239999771
AGR,Mali,2016 [YR2016],64.90000153
AGR,Malta,2016 [YR2016],1.169999957
AGR,Marshall Islands,2016 [YR2016],..
AGR,Mauritania,2016 [YR2016],32.54999924
AGR,Mauritius,2016 [YR2016],6.670000076
AGR,Mexico,2016 [YR2016],13.10000038
AGR,"Micronesia, Fed. Sts.",2016 [YR2016],..
AGR,Moldova,2016 [YR2016],33.70000076
AGR,Monaco,2016 [YR2016],..
AGR,Mongolia,2016 [YR2016],30.36000061
AGR,Montenegro,2016 [YR2016],7.739999771
AGR,Morocco,2016 [YR2016],35.95999908
AGR,Mozambique,2016 [YR2016],71.55999756
AGR,Myanmar,2016 [YR2016],51.20000076
AGR,Namibia,2016 [YR2016],20.06999969
AGR,Nauru,2016 [YR2016],..
AGR,Nepal,2016 [YR2016],66.66000366
AGR,Netherlands,2016 [YR2016],2.25999999
AGR,New Caledonia,2016 [YR2016],2.059999943
AGR,New Zealand,2016 [YR2016],6.610000134
AGR,Nicaragua,2016 [YR2016],30.37000084
AGR,Niger,2016 [YR2016],73.48000336
AGR,Nigeria,2016 [YR2016],36.54999924
AGR,North Macedonia,2016 [YR2016],16.62999916
AGR,Northern Mariana Islands,2016 [YR2016],..
AGR,Norway,2016 [YR2016],2.089999914
AGR,Oman,2016 [YR2016],4.46999979
AGR,Pakistan,2016 [YR2016],42.27000046
AGR,Palau,2016 [YR2016],..
AGR,Panama,2016 [YR2016],15.35999966
AGR,Papua New Guinea,2016 [YR2016],59
AGR,Paraguay,2016 [YR2016],21.31999969
AGR,Peru,2016 [YR2016],28.37999916
AGR,Philippines,2016 [YR2016],26.89999962
AGR,Poland,2016 [YR2016],10.57999992
AGR,Portugal,2016 [YR2016],6.909999847
AGR,Puerto Rico,2016 [YR2016],1.159999967
AGR,Qatar,2016 [YR2016],1.220000029
AGR,Romania,2016 [YR2016],23.10000038
AGR,Russian Federation,2016 [YR2016],6.71999979
AGR,Rwanda,2016 [YR2016],65.81999969
AGR,Samoa,2016 [YR2016],31.76000023
AGR,San Marino,2016 [YR2016],..
AGR,Sao Tome and Principe,2016 [YR2016],20.65999985
AGR,Saudi Arabia,2016 [YR2016],4.96999979
AGR,Senegal,2016 [YR2016],32.49000168
AGR,Serbia,2016 [YR2016],18.61000061
AGR,Seychelles,2016 [YR2016],..
AGR,Sierra Leone,2016 [YR2016],57.02999878
AGR,Singapore,2016 [YR2016],0.059999999
AGR,Sint Maarten (Dutch part),2016 [YR2016],..
AGR,Slovak Republic,2016 [YR2016],2.890000105
AGR,Slovenia,2016 [YR2016],5.019999981
AGR,Solomon Islands,2016 [YR2016],39.47999954
AGR,Somalia,2016 [YR2016],80.81999969
AGR,South Africa,2016 [YR2016],5.570000172
AGR,South Sudan,2016 [YR2016],61.84000015
AGR,Spain,2016 [YR2016],4.21999979
AGR,Sri Lanka,2016 [YR2016],27.10000038
AGR,St. Kitts and Nevis,2016 [YR2016],..
AGR,St. Lucia,2016 [YR2016],10.84000015
AGR,St. Vincent and the Grenadines,2016 [YR2016],10.84000015
AGR,Sudan,2016 [YR2016],40.36999893
AGR,Suriname,2016 [YR2016],8.239999771
AGR,Sweden,2016 [YR2016],1.889999986
AGR,Switzerland,2016 [YR2016],3.359999895
AGR,Syrian Arab Republic,2016 [YR2016],11.72999954
AGR,Tajikistan,2016 [YR2016],47.75999832
AGR,Tanzania,2016 [YR2016],66.86000061
AGR,Thailand,2016 [YR2016],31.15999985
AGR,Timor-Leste,2016 [YR2016],40.36000061
AGR,Togo,2016 [YR2016],36.25999832
AGR,Tonga,2016 [YR2016],21.45999908
AGR,Trinidad and Tobago,2016 [YR2016],3.25
AGR,Tunisia,2016 [YR2016],14.77000046
AGR,Turkiye,2016 [YR2016],19.5
AGR,Turkmenistan,2016 [YR2016],23.62000084
AGR,Turks and Caicos Islands,2016 [YR2016],..
AGR,Tuvalu,2016 [YR2016],..
AGR,Uganda,2016 [YR2016],72.41000366
AGR,Ukraine,2016 [YR2016],15.60000038
AGR,United Arab Emirates,2016 [YR2016],1.809999943
AGR,United Kingdom,2016 [YR2016],1.129999995
AGR,United States,2016 [YR2016],1.429999948
AGR,Uruguay,2016 [YR2016],8.220000267
AGR,Uzbekistan,2016 [YR2016],27.42000008
AGR,Vanuatu,2016 [YR2016],59.41999817
AGR,"Venezuela, RB",2016 [YR2016],7.400000095
AGR,Vietnam,2016 [YR2016],41.86999893
AGR,Virgin Islands (U.S.),2016 [YR2016],2.069999933
AGR,West Bank and Gaza,2016 [YR2016],7.360000134
AGR,World,2016 [YR2016],28.33261627
AGR,"Yemen, Rep.",2016 [YR2016],29.26000023
AGR,Zambia,2016 [YR2016],51.36999893
AGR,Zimbabwe,2016 [YR2016],66.87999725
AGR,Afghanistan,2017 [YR2017],43.99000168
AGR,Albania,2017 [YR2017],38.08000183
AGR,Algeria,2017 [YR2017],10.15999985
AGR,Angola,2017 [YR2017],50.99000168
AGR,Argentina,2017 [YR2017],0.059999999
AGR,Armenia,2017 [YR2017],31.34000015
AGR,Australia,2017 [YR2017],2.599999905
AGR,Austria,2017 [YR2017],3.930000067
AGR,Azerbaijan,2017 [YR2017],36.34999847
AGR,"Bahamas, The",2017 [YR2017],2.329999924
AGR,Bahrain,2017 [YR2017],1.00999999
AGR,Bangladesh,2017 [YR2017],40.59999847
AGR,Barbados,2017 [YR2017],2.75999999
AGR,Belarus,2017 [YR2017],10.69999981
AGR,Belgium,2017 [YR2017],1.159999967
AGR,Belize,2017 [YR2017],17.42000008
AGR,Benin,2017 [YR2017],39.86999893
AGR,Bhutan,2017 [YR2017],56.52000046
AGR,Bolivia,2017 [YR2017],30.48999977
AGR,Bosnia and Herzegovina,2017 [YR2017],16.81999969
AGR,Botswana,2017 [YR2017],20.87999916
AGR,Brazil,2017 [YR2017],9.460000038
AGR,Brunei Darussalam,2017 [YR2017],1.360000014
AGR,Bulgaria,2017 [YR2017],7.010000229
AGR,Burkina Faso,2017 [YR2017],28.02000046
AGR,Burundi,2017 [YR2017],86.30999756
AGR,Cabo Verde,2017 [YR2017],13.60999966
AGR,Cambodia,2017 [YR2017],38.20999908
AGR,Cameroon,2017 [YR2017],44.90999985
