Country,Value
Algeria,19
Angola,77.7
Benin,67.9
Botswana,55.6
Burkina Faso,52.6
Burundi,
Cabo Verde,35.4
Cameroon,55.8
Central African Republic,81.3
Chad,
Comoros,79.7
Congo,88.7
Côte d'Ivoire,42.8
Democratic Republic of the Congo,72.3
Djibouti,49.2
Egypt,27.3
Equatorial Guinea,
Eritrea,
Eswatini,67
Ethiopia,56.2
Gabon,
Gambia,58
Ghana,36.6
Guinea,73.3
Guinea-Bissau,75
Kenya,69.5
Lesotho,54.4
Liberia,80.6
Libya,39.4
Madagascar,61.1
Malawi,81.3
Mali,
Mauritania,45.3
Mauritius,28.2
Morocco,31.6
Mozambique,73.7
Namibia,57.9
Niger,
Nigeria,58.5
Rwanda,
Sao Tome and Principe,54.6
Senegal,49.2
Seychelles,
Sierra Leone,86.7
Somalia,77.4
South Africa,19
South Sudan,86.4
Sudan,50.7
Togo,62.5
Tunisia,28
Uganda,72.5
United Republic of Tanzania,57.6
Zambia,69.5
Zimbabwe,73
