name,date,AveragePrice
Flour,01/01/2001,0.64732397
Flour,01/02/2001,0.61820692
Flour,01/03/2001,0.64186209
Flour,01/04/2001,0.61250001
Flour,01/05/2001,0.65708333
Flour,01/06/2001,0.65344596
Flour,01/07/2001,0.64834481
Flour,01/08/2001,0.65027589
Flour,01/09/2001,0.61426473
Flour,01/10/2001,0.60117644
Flour,01/11/2001,0.60028368
Flour,01/12/2001,0.62204379
Flour,01/01/2002,0.64131385
Flour,01/02/2002,0.66139346
Flour,01/03/2002,0.65790325
Flour,01/04/2002,0.63801527
Flour,01/05/2002,0.64389312
Flour,01/06/2002,0.64038461
Flour,01/07/2002,0.63736433
Flour,01/08/2002,0.63372093
Flour,01/09/2002,0.63595045
Flour,01/10/2002,0.62800002
Flour,01/11/2002,0.63047242
Flour,01/12/2002,0.6554839
Flour,01/01/2003,0.64757574
Flour,01/02/2003,0.63870227
Flour,01/03/2003,0.63137406
Flour,01/04/2003,0.64954954
Flour,01/05/2003,0.65300888
Flour,01/06/2003,0.65026551
Flour,01/07/2003,0.65284485
Flour,01/08/2003,0.65353984
Flour,01/09/2003,0.64218181
Flour,01/10/2003,0.6689474
Flour,01/11/2003,0.65916669
Flour,01/12/2003,0.63007301
Flour,01/01/2004,0.65902257
Flour,01/02/2004,0.68109244
Flour,01/03/2004,0.70296609
Flour,01/04/2004,0.7023077
Flour,01/05/2004,0.69289255
Flour,01/06/2004,0.69107437
Flour,01/07/2004,0.68558335
Flour,01/08/2004,0.6890164
Flour,01/09/2004,0.69270492
Flour,01/10/2004,0.67147541
Flour,01/11/2004,0.69672
Flour,01/12/2004,0.69203252
Flour,01/01/2005,0.68809521
Flour,01/02/2005,0.68126053
Flour,01/03/2005,0.6785
Flour,01/04/2005,0.6809836
Flour,01/05/2005,0.68626666
Flour,01/06/2005,0.67912
Flour,01/07/2005,0.67159998
Flour,01/08/2005,0.67082644
Flour,01/09/2005,0.66786885
Flour,01/10/2005,0.65950412
Flour,01/11/2005,0.66923732
Flour,01/12/2005,0.67033613
Flour,01/01/2006,0.67500001
Flour,01/02/2006,0.67255998
Flour,01/03/2006,0.66907561
Flour,01/04/2006,0.66834784
Flour,01/05/2006,0.68273503
Flour,01/06/2006,0.69679999
Flour,01/07/2006,0.69264001
Flour,01/08/2006,0.70480001
Flour,01/09/2006,0.70420635
Flour,01/10/2006,0.70593494
Flour,01/11/2006,0.71317071
Flour,01/12/2006,0.70912701
Flour,01/01/2007,0.70447367
Flour,01/02/2007,0.71271926
Flour,01/03/2007,0.74158728
Flour,01/04/2007,0.76300001
Flour,01/05/2007,0.78616542
Flour,01/06/2007,0.7875194
Flour,01/07/2007,0.78259259
Flour,01/08/2007,0.77559054
Flour,01/09/2007,0.88379842
Flour,01/10/2007,0.89753729
Flour,01/11/2007,0.90441173
Flour,01/12/2007,0.90094888
Flour,01/01/2008,0.93270069
Flour,01/02/2008,0.9211278
Flour,01/03/2008,0.95779413
Flour,01/04/2008,0.97932833
Flour,01/05/2008,0.97730768
Flour,01/06/2008,1.0214286
Flour,01/07/2008,1.0203788
Flour,01/08/2008,0.99816
Flour,01/09/2008,1.0206299
Flour,01/10/2008,1.0423256
Flour,01/11/2008,1.0395489
Flour,01/12/2008,1.0384444
Flour,01/01/2009,1.0443796
Flour,01/02/2009,0.99348485
Flour,01/03/2009,1.0317165
Flour,01/04/2009,1.0391791
Flour,01/05/2009,1.0308956
Flour,01/06/2009,1.0426718
Flour,01/07/2009,1.0442963
Flour,01/08/2009,1.0576643
Flour,01/09/2009,1.0478833
Flour,01/10/2009,1.0374453
Flour,01/11/2009,1.0331885
Flour,01/12/2009,1.0388405
Flour,01/01/2010,0.98053849
Flour,01/02/2010,0.92537814
Flour,01/03/2010,0.97569108
Flour,01/04/2010,0.97695315
Flour,01/05/2010,0.97658336
Flour,01/06/2010,0.99287879
Flour,01/07/2010,0.96894735
Flour,01/08/2010,0.98287767
Flour,01/09/2010,0.91240603
Flour,01/10/2010,0.95204222
Flour,01/11/2010,1.147037
Flour,01/12/2010,1.1908209
Flour,01/01/2011,1.2391912
Flour,01/02/2011,1.13728
Flour,01/03/2011,1.2083334
Flour,01/04/2011,1.1877205
Flour,01/05/2011,1.3071942
Flour,01/06/2011,1.3140141
Flour,01/07/2011,1.2919999
Flour,01/08/2011,1.2375
Flour,01/09/2011,1.2750365
Flour,01/10/2011,1.2445714
Flour,01/11/2011,1.1816176
Flour,01/12/2011,1.1779137
Flour,01/01/2012,1.2467606
Flour,01/02/2012,1.1730597
Flour,01/03/2012,1.2102174
Flour,01/04/2012,1.2025735
Flour,01/05/2012,1.1928777
Flour,01/06/2012,1.163741
Flour,01/07/2012,1.1420588
Flour,01/08/2012,1.0846666
Flour,01/09/2012,1.0876744
Flour,01/10/2012,1.0445113
Flour,01/11/2012,1.0408955
Flour,01/12/2012,1.0753732
Flour,01/01/2013,1.1178195
Flour,01/02/2013,1.117803
Flour,01/03/2013,1.1963503
Flour,01/04/2013,1.2184247
Flour,01/05/2013,1.2539008
Flour,01/06/2013,1.2442553
Flour,01/07/2013,1.2330883
Flour,01/08/2013,1.206194
Flour,01/09/2013,1.2710606
Flour,01/10/2013,1.2336568
Flour,01/11/2013,1.2483803
Flour,01/12/2013,1.2196429
Flour,01/01/2014,1.2692254
Flour,01/02/2014,1.1944882
Flour,01/03/2014,1.1341406
Flour,01/04/2014,1.0966667
Flour,01/05/2014,1.1141323
Flour,01/06/2014,1.100155
Flour,01/07/2014,1.0978125
Flour,01/08/2014,1.1111511
Flour,01/09/2014,1.0872593
Flour,01/10/2014,1.0607353
Flour,01/11/2014,1.0833334
Flour,01/12/2014,0.98623186
Flour,01/01/2015,0.98637682
Flour,01/02/2015,0.96798509
Flour,01/03/2015,0.93007249
Flour,01/04/2015,0.91234481
Flour,01/05/2015,0.91514283
Flour,01/06/2015,0.91312498
Flour,01/07/2015,0.9104138
Flour,01/08/2015,0.90386206
Flour,01/09/2015,0.91417265
Flour,01/10/2015,0.91007042
Flour,01/11/2015,0.86500001
Flour,01/12/2015,0.86840582
Flour,01/01/2016,0.84542251
Flour,01/02/2016,0.82160836
Flour,01/03/2016,0.81565517
Flour,01/04/2016,0.82461536
Flour,01/05/2016,0.81206894
Flour,01/06/2016,0.82028168
Flour,01/07/2016,0.79000002
Flour,01/08/2016,0.80612677
Flour,01/09/2016,0.79773974
Flour,01/10/2016,0.79662067
Flour,01/11/2016,0.79731035
Flour,01/12/2016,0.80783784
Flour,01/01/2017,0.7964626
Flour,01/02/2017,0.80326533
Flour,01/03/2017,0.80557823
Flour,01/04/2017,0.81893337
Flour,01/05/2017,0.82917809
Flour,01/06/2017,0.81985718
Flour,01/07/2017,0.83542252
Flour,01/08/2017,0.8369655
Flour,01/09/2017,0.80800003
Flour,01/10/2017,0.79725927
Flour,01/11/2017,0.82868057
Flour,01/12/2017,0.82413793
Flour,01/01/2018,0.82722223
Flour,01/02/2018,0.79843974
Flour,01/03/2018,0.805188
Flour,01/04/2018,0.79000002
Flour,01/05/2018,0.78847224
Flour,01/06/2018,0.76544827
Flour,01/07/2018,0.75938356
Flour,01/08/2018,0.7567808
Flour,01/09/2018,0.74889654
Flour,01/10/2018,0.74417806
Flour,01/11/2018,0.75077462
Flour,01/12/2018,0.75170213
Flour,01/01/2019,0.74383461
Flour,01/02/2019,0.74022555
Flour,01/03/2019,0.74359155
Flour,01/04/2019,0.75634485
Flour,01/05/2019,0.75708336
Flour,01/06/2019,0.75111109
Flour,01/07/2019,0.74562502
Flour,01/08/2019,0.73428571
Flour,01/09/2019,0.74057144
Flour,01/10/2019,0.74064285
Flour,01/11/2019,0.75557971
Flour,01/12/2019,0.74471831
Flour,01/01/2020,0.7532143
Flour,01/02/2020,0.74964285
Flour,01/03/2020,0.8064
Flour,01/04/2020,0.70833331
Flour,01/05/2020,0.74288887
Flour,01/06/2020,0.79194444
Flour,01/07/2020,0.91657895
Flour,01/08/2020,0.778018
Flour,01/09/2020,0.75171429
Flour,01/10/2020,0.76034188
Flour,01/11/2020,0.73795456
Flour,01/12/2020,0.72040814
Flour,01/01/2021,0.70630252
Flour,01/02/2021,0.64445376
Flour,01/03/2021,0.64652544
Flour,01/04/2021,0.6326496
Flour,01/05/2021,0.6509524
Flour,01/06/2021,0.70159292
Flour,01/07/2021,0.68699998
Flour,01/08/2021,0.68306571
Flour,01/09/2021,0.69213235
Flour,01/10/2021,0.71218312
Flour,01/11/2021,0.71223778
Flour,01/12/2021,0.71111888
Flour,01/01/2022,0.72405595
Flour,01/02/2022,0.71671641
Flour,01/03/2022,0.74595743
Flour,01/04/2022,0.76326388
Flour,01/05/2022,0.78433567
Flour,01/06/2022,0.80958039
Flour,01/07/2022,0.84863633
Flour,01/08/2022,0.85728568
Flour,01/09/2022,0.85865247
Flour,01/10/2022,0.85230768
Flour,01/11/2022,0.85188973
Pasta,01/01/2001,0.53067565
Pasta,01/02/2001,0.53726029
Pasta,01/03/2001,0.53349316
Pasta,01/04/2001,0.54953641
Pasta,01/05/2001,0.55509675
Pasta,01/06/2001,0.55352199
Pasta,01/07/2001,0.5494771
Pasta,01/08/2001,0.56020272
Pasta,01/09/2001,0.5492208
Pasta,01/10/2001,0.54780644
Pasta,01/11/2001,0.51548612
Pasta,01/12/2001,0.55467105
Pasta,01/01/2002,0.54953945
Pasta,01/02/2002,0.5769065
Pasta,01/03/2002,0.58824325
Pasta,01/04/2002,0.56379312
Pasta,01/05/2002,0.5723179
Pasta,01/06/2002,0.57440788
Pasta,01/07/2002,0.5834437
Pasta,01/08/2002,0.58281046
Pasta,01/09/2002,0.5722
Pasta,01/10/2002,0.57373238
Pasta,01/11/2002,0.58054423
Pasta,01/12/2002,0.58499998
Pasta,01/01/2003,0.57048273
Pasta,01/02/2003,0.55223256
Pasta,01/03/2003,0.52904761
Pasta,01/04/2003,0.56691009
Pasta,01/05/2003,0.5443787
Pasta,01/06/2003,0.57348067
Pasta,01/07/2003,0.58259666
Pasta,01/08/2003,0.58810347
Pasta,01/09/2003,0.57240438
Pasta,01/10/2003,0.56298912
Pasta,01/11/2003,0.55223882
Pasta,01/12/2003,0.57208145
Pasta,01/01/2004,0.56303966
Pasta,01/02/2004,0.57220185
Pasta,01/03/2004,0.57904547
Pasta,01/04/2004,0.56195456
Pasta,01/05/2004,0.54490566
Pasta,01/06/2004,0.53687203
Pasta,01/07/2004,0.55362791
Pasta,01/08/2004,0.54077983
Pasta,01/09/2004,0.54320389
Pasta,01/10/2004,0.55367023
Pasta,01/11/2004,0.52921051
Pasta,01/12/2004,0.55485296
Pasta,01/01/2005,0.54989952
Pasta,01/02/2005,0.55861908
Pasta,01/03/2005,0.55449277
Pasta,01/04/2005,0.53443927
Pasta,01/05/2005,0.53991598
Pasta,01/06/2005,0.51587063
Pasta,01/07/2005,0.54157144
Pasta,01/08/2005,0.53560978
Pasta,01/09/2005,0.5419898
Pasta,01/10/2005,0.52895236
Pasta,01/11/2005,0.5532161
Pasta,01/12/2005,0.55248731
Pasta,01/01/2006,0.55994874
Pasta,01/02/2006,0.55948979
Pasta,01/03/2006,0.55685002
Pasta,01/04/2006,0.54218084
Pasta,01/05/2006,0.54304349
Pasta,01/06/2006,0.51610255
Pasta,01/07/2006,0.5103941
Pasta,01/08/2006,0.49585253
Pasta,01/09/2006,0.49796298
Pasta,01/10/2006,0.47981396
Pasta,01/11/2006,0.49457145
Pasta,01/12/2006,0.49600917
Pasta,01/01/2007,0.47541463
Pasta,01/02/2007,0.49310002
Pasta,01/03/2007,0.48250002
Pasta,01/04/2007,0.465
Pasta,01/05/2007,0.49236968
Pasta,01/06/2007,0.49568722
Pasta,01/07/2007,0.47229269
Pasta,01/08/2007,0.47896227
Pasta,01/09/2007,0.53839999
Pasta,01/10/2007,0.56104165
Pasta,01/11/2007,0.59858489
Pasta,01/12/2007,0.6181106
Pasta,01/01/2008,0.6055122
Pasta,01/02/2008,0.65549296
Pasta,01/03/2008,0.6614027
Pasta,01/04/2008,0.6680488
Pasta,01/05/2008,0.73971015
Pasta,01/06/2008,0.76816034
Pasta,01/07/2008,0.83775699
Pasta,01/08/2008,0.82213634
Pasta,01/09/2008,0.82861114
Pasta,01/10/2008,0.83458334
Pasta,01/11/2008,0.84069121
Pasta,01/12/2008,0.83199072
Pasta,01/01/2009,0.80981481
Pasta,01/02/2009,0.79029852
Pasta,01/03/2009,0.75950497
Pasta,01/04/2009,0.70282054
Pasta,01/05/2009,0.7699517
Pasta,01/06/2009,0.76270533
Pasta,01/07/2009,0.77970296
Pasta,01/08/2009,0.77013761
Pasta,01/09/2009,0.73263395
Pasta,01/10/2009,0.72330314
Pasta,01/11/2009,0.69839287
Pasta,01/12/2009,0.70690584
Pasta,01/01/2010,0.72192824
Pasta,01/02/2010,0.67852533
Pasta,01/03/2010,0.65909094
Pasta,01/04/2010,0.72048247
Pasta,01/05/2010,0.73314655
Pasta,01/06/2010,0.72250003
Pasta,01/07/2010,0.76659387
Pasta,01/08/2010,0.79564655
Pasta,01/09/2010,0.83906382
Pasta,01/10/2010,0.83944207
Pasta,01/11/2010,0.84069568
Pasta,01/12/2010,0.85000002
Pasta,01/01/2011,0.87142855
Pasta,01/02/2011,0.90986955
Pasta,01/03/2011,0.89915609
Pasta,01/04/2011,0.88838708
Pasta,01/05/2011,0.90322727
Pasta,01/06/2011,0.94619912
Pasta,01/07/2011,0.99204648
Pasta,01/08/2011,0.98472726
Pasta,01/09/2011,0.98401827
Pasta,01/10/2011,0.95912439
Pasta,01/11/2011,0.95351595
Pasta,01/12/2011,0.96386665
Pasta,01/01/2012,0.96805906
Pasta,01/02/2012,1.0196956
Pasta,01/03/2012,1.0134764
Pasta,01/04/2012,1.0206666
Pasta,01/05/2012,1.05
Pasta,01/06/2012,1.0541596
Pasta,01/07/2012,1.05
Pasta,01/08/2012,1.0477021
Pasta,01/09/2012,1.0720339
Pasta,01/10/2012,1.0632341
Pasta,01/11/2012,1.0792797
Pasta,01/12/2012,1.0875107
Pasta,01/01/2013,0.96843219
Pasta,01/02/2013,1.0321889
Pasta,01/03/2013,1.0416228
Pasta,01/04/2013,1.0451121
Pasta,01/05/2013,1.012563
Pasta,01/06/2013,1.049823
Pasta,01/07/2013,1.0271244
Pasta,01/08/2013,1.0505106
Pasta,01/09/2013,1.0089362
Pasta,01/10/2013,0.97888392
Pasta,01/11/2013,1.048692
Pasta,01/12/2013,1.0054935
Pasta,01/01/2014,1.0505508
Pasta,01/02/2014,1.0391341
Pasta,01/03/2014,1.0431356
Pasta,01/04/2014,1.0694118
Pasta,01/05/2014,1.0361778
Pasta,01/06/2014,1.0270762
Pasta,01/07/2014,1.0592793
Pasta,01/08/2014,1.0481013
Pasta,01/09/2014,1.0619665
Pasta,01/10/2014,1.0465126
Pasta,01/11/2014,1.047647
