name,price,date
Flour,0.616383,Jan-00
Flour,0.6152307,Feb-00
Flour,0.6508163,Mar-00
Flour,0.6497222,Apr-00
Flour,0.64,May-00
Flour,0.6586232,Jun-00
Flour,0.6469784,Jul-00
Flour,0.6427211,Aug-00
Flour,0.6506383,Sep-00
Flour,0.625,Oct-00
Flour,0.6440845,Nov-00
Flour,0.6394964,Dec-00
Flour,0.647324,Jan-01
Flour,0.6182069,Feb-01
Flour,0.6418621,Mar-01
Flour,0.6125,Apr-01
Flour,0.6570833,May-01
Flour,0.653446,Jun-01
Flour,0.6483448,Jul-01
Flour,0.6502759,Aug-01
Flour,0.6142647,Sep-01
Flour,0.6011764,Oct-01
Flour,0.6002837,Nov-01
Flour,0.6220438,Dec-01
Flour,0.6413139,Jan-02
Flour,0.6613935,Feb-02
Flour,0.6579033,Mar-02
Flour,0.6380153,Apr-02
Flour,0.6438931,May-02
Flour,0.6403846,Jun-02
Flour,0.6373643,Jul-02
Flour,0.6337209,Aug-02
Flour,0.6359504,Sep-02
Flour,0.628,Oct-02
Flour,0.6304724,Nov-02
Flour,0.6554839,Dec-02
Flour,0.6475757,Jan-03
Flour,0.6387023,Feb-03
Flour,0.6313741,Mar-03
Flour,0.6495495,Apr-03
Flour,0.6530089,May-03
Flour,0.6502655,Jun-03
Flour,0.6528448,Jul-03
Flour,0.6535398,Aug-03
Flour,0.6421818,Sep-03
Flour,0.6689474,Oct-03
Flour,0.6591667,Nov-03
Flour,0.630073,Dec-03
Flour,0.6590226,Jan-04
Flour,0.6810924,Feb-04
Flour,0.7029661,Mar-04
Flour,0.7023077,Apr-04
Flour,0.6928926,May-04
Flour,0.6910744,Jun-04
Flour,0.6855834,Jul-04
Flour,0.6890164,Aug-04
Flour,0.6927049,Sep-04
Flour,0.6714754,Oct-04
Flour,0.69672,Nov-04
Flour,0.6920325,Dec-04
Flour,0.6880952,Jan-05
Flour,0.6812605,Feb-05
Flour,0.6785,Mar-05
Flour,0.6809836,Apr-05
Flour,0.6862667,May-05
Flour,0.67912,Jun-05
Flour,0.6716,Jul-05
Flour,0.6708264,Aug-05
Flour,0.6678689,Sep-05
Flour,0.6595041,Oct-05
Flour,0.6692373,Nov-05
Flour,0.6703361,Dec-05
Flour,0.675,Jan-06
Flour,0.67256,Feb-06
Flour,0.6690756,Mar-06
Flour,0.6683478,Apr-06
Flour,0.682735,May-06
Flour,0.6968,Jun-06
Flour,0.69264,Jul-06
Flour,0.7048,Aug-06
Flour,0.7042063,Sep-06
Flour,0.7059349,Oct-06
Flour,0.7131707,Nov-06
Flour,0.709127,Dec-06
Flour,0.7044737,Jan-07
Flour,0.7127193,Feb-07
Flour,0.7415873,Mar-07
Flour,0.763,Apr-07
Flour,0.7861654,May-07
Flour,0.7875194,Jun-07
Flour,0.7825926,Jul-07
Flour,0.7755905,Aug-07
Flour,0.8837984,Sep-07
Flour,0.8975373,Oct-07
Flour,0.9044117,Nov-07
Flour,0.9009489,Dec-07
Flour,0.9327007,Jan-08
Flour,0.9211278,Feb-08
Flour,0.9577941,Mar-08
Flour,0.9793283,Apr-08
Flour,0.9773077,May-08
Flour,1.021429,Jun-08
Flour,1.020379,Jul-08
Flour,0.99816,Aug-08
Flour,1.02063,Sep-08
Flour,1.042326,Oct-08
Flour,1.039549,Nov-08
Flour,1.038444,Dec-08
Flour,1.04438,Jan-09
Flour,0.9934849,Feb-09
Flour,1.031716,Mar-09
Flour,1.039179,Apr-09
Flour,1.030896,May-09
Flour,1.042672,Jun-09
Flour,1.044296,Jul-09
Flour,1.057664,Aug-09
Flour,1.047883,Sep-09
Flour,1.037445,Oct-09
Flour,1.033188,Nov-09
Flour,1.038841,Dec-09
Flour,0.9805385,Jan-10
Flour,0.9253781,Feb-10
Flour,0.9756911,Mar-10
Flour,0.9769531,Apr-10
Flour,0.9765834,May-10
Flour,0.9928788,Jun-10
Flour,0.9689474,Jul-10
Flour,0.9828777,Aug-10
Flour,0.912406,Sep-10
Flour,0.9520422,Oct-10
Flour,1.147037,Nov-10
Flour,1.190821,Dec-10
Flour,1.239191,Jan-11
Flour,1.13728,Feb-11
Flour,1.208333,Mar-11
