Country,Item,Value
Angola,"Cassava, fresh",87.30517
Angola,Maize (corn),27.65316
Angola,Sweet potatoes,16.88122
Benin,"Cassava, fresh",38.19804
Benin,Maize (corn),15.09758
Burkina Faso,Maize (corn),17.00127
Burundi,"Cassava, fresh",23.86709
Cameroon,"Cassava, fresh",48
Cameroon,Maize (corn),20.99729
Cameroon,Sugar cane,12.55532
Congo,"Cassava, fresh",15.8438
Côte d'Ivoire,"Cassava, fresh",56.08044
Côte d'Ivoire,Maize (corn),10.5496
Côte d'Ivoire,Rice,20.06845
Côte d'Ivoire,Sugar cane,20.263
Democratic Republic of the Congo,"Cassava, fresh",388.73036
Democratic Republic of the Congo,Maize (corn),21.86055
Democratic Republic of the Congo,Rice,12.86872
Democratic Republic of the Congo,Sugar cane,21.22933
Eswatini,Sugar cane,56.85466
Ethiopia,Maize (corn),101.19847
Ethiopia,Sugar cane,12.94081
Ethiopia,Sweet potatoes,15.12112
Ghana,"Cassava, fresh",208.4596
Ghana,Maize (corn),23.06384
Guinea,"Cassava, fresh",18.95396
Guinea,Rice,23.39747
Kenya,Maize (corn),40.13777
Kenya,Sugar cane,52.62157
Madagascar,"Cassava, fresh",25
Madagascar,Rice,40.3
Madagascar,Sugar cane,30.21262
Madagascar,Sweet potatoes,10.88922
Malawi,"Cassava, fresh",54.10506
Malawi,Maize (corn),26.97959
Malawi,Sugar cane,29.03
Malawi,Sweet potatoes,56.68543
Mali,Maize (corn),36.2495
Mali,Rice,31.67528
Mauritius,Sugar cane,31.54515
Mozambique,"Cassava, fresh",63.46023
Mozambique,Maize (corn),14.06794
Mozambique,Sugar cane,31.39
Nigeria,"Cassava, fresh",558.67727
Nigeria,Maize (corn),110
Nigeria,Rice,84.03
Nigeria,Sugar cane,14.80903
Nigeria,Sweet potatoes,38.77515
Rwanda,"Cassava, fresh",11.272
Rwanda,Sweet potatoes,11.86731
Senegal,"Cassava, fresh",10.23738
Senegal,Rice,12.06587
Senegal,Sugar cane,13.78
Sierra Leone,"Cassava, fresh",21.45782
South Africa,Maize (corn),125.1
South Africa,Sugar cane,193.01688
Togo,"Cassava, fresh",10.89472
Uganda,"Cassava, fresh",43.90231
Uganda,Maize (corn),34.4243
Uganda,Sugar cane,55.03
Uganda,Sweet potatoes,14.84163
United Republic of Tanzania,"Cassava, fresh",83.72217
United Republic of Tanzania,Maize (corn),62.73151
United Republic of Tanzania,Rice,34.14815
United Republic of Tanzania,Sugar cane,31.17812
United Republic of Tanzania,Sweet potatoes,37.44093
Zambia,"Cassava, fresh",41.023
Zambia,Maize (corn),23.94907
Zambia,Sugar cane,46.3
Zimbabwe,Maize (corn),15.601
Zimbabwe,Sugar cane,35.82994
