,state_name,lat,lng,population,State_clusters
0,California,34.3209,-118.2247,10040682,2
1,Illinois,41.8401,-87.8168,5169517,6
2,Texas,29.8578,-95.3936,4680609,7
3,Arizona,33.349,-112.4915,4412779,10
4,California,33.0343,-116.735,3323970,2
5,California,33.7031,-117.7609,3170345,2
6,Florida,25.6149,-80.5623,2705528,1
7,Texas,32.7666,-96.7778,2622634,7
8,New York,40.6395,-73.9385,2576771,3
9,California,33.7437,-115.9938,2437864,2
10,New York,40.7023,-73.8203,2270976,3
11,Nevada,36.2152,-115.0135,2228866,2
12,Washington,47.4902,-121.8052,2225064,2
13,California,34.8414,-116.1785,2162532,2
14,Texas,32.7719,-97.2911,2077153,7
15,Texas,29.4489,-98.52,1978826,7
16,Florida,26.1523,-80.4871,1942273,1
17,California,37.2318,-121.6951,1924379,2
18,Michigan,42.2819,-83.2822,1753059,6
19,California,37.6469,-121.8888,1661584,2
20,New York,40.7784,-73.9674,1629153,3
21,Massachusetts,42.4856,-71.3918,1605899,3
22,Pennsylvania,40.0077,-75.1339,1581531,3
23,California,38.4493,-121.3443,1537948,2
24,Florida,26.6476,-80.4655,1482057,1
25,New York,40.8686,-72.8448,1481364,3
26,Florida,27.9292,-82.3092,1451358,1
27,New York,40.85,-73.8661,1427056,3
28,Florida,28.5144,-81.3235,1373784,1
29,New York,40.7328,-73.5865,1355683,3
30,Ohio,39.9695,-83.0093,1304715,6
31,Michigan,42.6604,-83.3858,1255340,6
32,Minnesota,45.0045,-93.477,1255296,0
33,Texas,30.3344,-97.782,1250884,7
34,Ohio,41.4243,-81.6586,1241475,6
35,Pennsylvania,40.4688,-79.9812,1218380,3
36,Virginia,38.8368,-77.277,1149439,3
37,California,37.9191,-121.9277,1147788,2
38,Utah,40.6673,-111.9236,1146215,5
39,North Carolina,35.2467,-80.8328,1095170,1
40,North Carolina,35.7903,-78.6503,1091662,3
41,Georgia,33.7903,-84.467,1051550,1
42,Maryland,39.1363,-77.2042,1047661,3
43,Arizona,32.0974,-111.7899,1038476,10
44,Texas,33.188,-96.5724,1006038,7
45,Missouri,38.6407,-90.4434,996179,0
46,California,36.7582,-119.6493,990204,2
47,Hawaii,21.5008,-158.1053,979682,8
48,Florida,27.9199,-82.7256,970985,1
49,New York,41.1624,-73.7561,968738,3
50,Indiana,39.7817,-86.1385,957337,6
51,Wisconsin,43.0072,-87.9669,949180,0
52,Florida,30.3316,-81.6708,948651,1
53,Connecticut,41.2711,-73.3893,944306,3
54,Tennessee,35.1842,-89.894,936611,11
55,New Jersey,40.9597,-74.0742,931275,3
56,Georgia,33.9617,-84.0236,926414,1
57,Illinois,41.852,-88.0856,926005,0
58,New York,42.7639,-78.7323,918873,3
59,Maryland,38.8295,-76.8473,910551,3
60,California,35.3426,-118.7301,892458,2
61,Connecticut,41.8064,-72.7329,892153,3
62,Washington,47.0241,-122.1046,891862,2
63,California,37.7558,-122.4449,874784,2
64,Michigan,42.6957,-82.9323,870893,6
65,Texas,33.2055,-97.1168,861690,7
66,Texas,26.3967,-98.1811,861137,7
67,Connecticut,41.4106,-72.9321,855733,3
68,California,34.4561,-119.0836,845599,2
69,Texas,31.7686,-106.2348,836915,10
70,Maryland,39.4627,-76.6393,828193,3
71,Pennsylvania,40.2108,-75.3673,827180,3
72,Massachusetts,42.3514,-71.9077,826655,3
73,New Jersey,40.4392,-74.4117,825015,3
74,Ohio,39.1955,-84.5428,815790,6
75,Washington,48.0475,-121.6975,811572,2
76,Oregon,45.5468,-122.4148,809869,2
77,Massachusetts,42.3334,-71.0719,801162,3
78,New Jersey,40.7872,-74.2471,798698,3
79,Oklahoma,35.5515,-97.4072,792668,7
80,Texas,29.5275,-95.7709,790892,7
81,Massachusetts,42.6732,-70.952,787038,3
82,Kentucky,38.1872,-85.6591,768419,6
83,California,37.4229,-122.329,765623,2
84,Georgia,33.9415,-84.5767,756653,1
85,Florida,26.5779,-81.8337,756570,1
86,Georgia,33.7715,-84.2264,755287,1
87,California,37.9348,-121.2714,751615,2
88,New York,43.1464,-77.6961,743084,3
89,Colorado,39.762,-104.8758,715878,10
90,Colorado,38.8321,-104.5255,710499,10
91,Florida,27.9489,-81.6977,705735,1
92,Massachusetts,42.1605,-71.2114,703740,3
93,District of Columbia,38.9047,-77.0163,701974,3
94,Missouri,39.0085,-94.3461,700733,0
95,Illinois,42.3233,-88.0037,699682,0
96,Tennessee,36.1695,-86.7847,690540,11
97,Illinois,41.445,-87.9786,689704,6
98,New Mexico,35.0514,-106.6702,679037,10
99,New Jersey,40.7371,-74.0779,671923,3
100,Alabama,33.5543,-86.8964,658615,11
101,Michigan,43.0322,-85.5493,652617,6
102,Oklahoma,36.1211,-95.9415,650291,7
103,Colorado,39.6498,-104.3392,649980,10
104,Rhode Island,41.8721,-71.58,636161,3
105,Pennsylvania,40.337,-75.1069,627668,3
106,Utah,40.1199,-111.6703,621506,5
107,New Jersey,40.2603,-74.2213,620821,3
108,Maryland,39.3051,-76.6144,602274,3
109,New Jersey,39.8855,-74.2813,602018,3
110,Kansas,38.8838,-94.8223,597574,0
111,Oregon,45.5601,-123.0983,595761,2
112,Florida,28.2936,-80.7323,594001,1
113,Texas,30.3002,-95.503,590188,7
114,Colorado,39.5864,-105.2505,578795,10
115,Maryland,39.0065,-76.6051,575421,3
116,Texas,30.6475,-97.6004,570437,7
117,Nebraska,41.2954,-96.1543,565739,9
118,Pennsylvania,39.9167,-75.3991,565328,3
119,Massachusetts,41.7972,-71.1144,563301,3
120,Delaware,39.5768,-75.6527,558306,3
121,New Jersey,40.6601,-74.3087,555208,3
122,Minnesota,45.0171,-93.0996,546598,0
123,California,37.5591,-120.9977,546235,2
